person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
71,male,Associate,46817.176426016755,3,RENT,11567.737650161072,MEDICAL,10.351468585857749,0.24708319751920726,5,806.8690938429373,No,0
34,male,High School,79093.49400797114,17,OWN,9519.674497936147,MEDICAL,11.168902199421877,0.12035976684728003,1,604.3301711302117,No,0
80,male,Associate,67819.61443133798,20,OWN,16226.604002164233,PERSONAL,12.293111682806675,0.2392612246209744,11,685.9335787988409,No,0
40,female,Associate,49599.861220015846,0,RENT,15641.221707761231,VENTURE,10.32792580502519,0.3153480941888054,14,629.1901500519054,No,0
43,male,Doctorate,99833.90018021347,8,OWN,12727.942517148576,EDUCATION,9.338069392519422,0.12749118780467303,16,638.2981682533983,No,1
22,male,Bachelor,70130.70002531701,6,MORTGAGE,9008.104187843732,VENTURE,12.575500527372123,0.1284473730419321,22,770.9742565907218,No,0
41,female,Associate,86965.99388219383,11,OWN,23398.537787745285,EDUCATION,11.770606970231112,0.26905387661574354,19,596.3055228115371,No,1
72,female,Associate,60412.931964057185,6,MORTGAGE,24495.39250079586,PERSONAL,9.146555644580292,0.40546604351812376,19,734.020668157369,No,0
21,male,Bachelor,77241.16042671457,25,RENT,17674.382881454687,DEBTCONSOLIDATION,14.21127592901048,0.22882078394231165,22,653.0420562612625,No,0
49,male,Doctorate,57373.42932473752,4,OWN,14848.496411512087,PERSONAL,12.188034623875172,0.25880440800337356,26,738.9782297432788,No,1
57,female,Doctorate,38386.58132367104,8,OWN,6666.613496160928,VENTURE,9.659939260160094,0.17367041466779354,2,651.4187531932508,No,0
21,male,Bachelor,77293.80888236497,7,RENT,9253.618434789038,PERSONAL,9.431558206891337,0.11972004703342164,15,658.5997245462261,Yes,0
83,male,Doctorate,31571.147960838458,10,RENT,20454.48942237793,VENTURE,12.409188092602646,0.6478855139429877,26,736.2587418330551,No,0
79,female,Doctorate,79501.53287834596,1,MORTGAGE,13746.349701373092,MEDICAL,12.893437427485567,0.17290672523771203,18,763.6508619317385,No,0
40,female,Master,22730.308091137325,28,OWN,16161.258681148089,MEDICAL,10.39996089654215,0.7110004235908027,27,583.8877590754364,No,0
52,male,High School,59969.694604616605,13,OWN,24886.002510298575,EDUCATION,16.201066249730275,0.4149763088568871,1,604.5968414975542,No,0
77,female,Bachelor,78165.84700274878,14,MORTGAGE,1043.9464558116506,HOMEIMPROVEMENT,10.383241141248947,0.013355531806300764,22,637.2928251725232,Yes,0
41,female,High School,80908.6964625323,6,RENT,16135.93755901758,DEBTCONSOLIDATION,15.672508708399231,0.1994339083993265,7,683.6757461017247,No,0
68,female,Bachelor,43818.80695792665,12,RENT,30033.095040298726,PERSONAL,12.625974463388896,0.6853928056310501,21,581.4545446992763,No,0
78,male,Master,57957.49801433281,28,RENT,1000.0,VENTURE,9.407789685117987,0.017254022935094634,4,673.7258169123764,No,0
61,female,Bachelor,82927.60863708396,29,RENT,4375.527230348895,VENTURE,14.086212182557816,0.05276321483593614,16,712.7119364100771,No,0
79,female,Bachelor,24276.241833837637,16,MORTGAGE,6560.520699167437,EDUCATION,12.95122336779515,0.27024449435262266,12,706.8633723978401,No,0
34,female,Bachelor,81399.03118961495,21,OWN,8908.229365646606,PERSONAL,8.863683076723163,0.10943900972107805,9,543.9889633313862,No,0
81,female,Master,47967.09001291855,14,RENT,19549.90970222979,MEDICAL,10.364604008000219,0.4075692250033218,13,542.4202202114927,No,0
81,female,Doctorate,70433.84402611633,27,OWN,29648.590137341427,MEDICAL,7.744366673469816,0.42094238284578017,22,650.829575077764,No,0
66,female,Associate,100989.69151722852,10,OWN,16228.539527973053,VENTURE,12.029089229536133,0.16069501039325895,29,728.7188312389425,No,0
81,female,High School,82870.92560826815,15,OWN,12887.00071130793,HOMEIMPROVEMENT,9.923825271921443,0.15550689963600667,9,668.7888674154448,No,0
70,female,High School,43942.03549846208,1,OWN,21002.517392109345,MEDICAL,11.28759835572051,0.4779595927649826,26,683.9221360499915,No,0
74,female,High School,37331.93324275595,17,RENT,19041.68119865226,DEBTCONSOLIDATION,11.581725880148651,0.5100641607502925,14,700.6175816518657,Yes,0
83,male,Associate,44834.49967727815,0,MORTGAGE,20188.363593670907,HOMEIMPROVEMENT,11.72807821460182,0.4502863584736788,25,768.2775225916072,No,0
22,male,Doctorate,26652.45225180663,1,RENT,23081.851091805467,EDUCATION,11.026293676860362,0.866031045613856,26,686.0176002003743,No,0
70,male,Master,51832.814069756554,14,RENT,15272.981148772971,VENTURE,9.430214309331653,0.294658536737338,9,610.1491849856513,No,0
26,male,Bachelor,63805.34394537536,13,OWN,13594.224627444206,DEBTCONSOLIDATION,11.654980419751965,0.21305777520896071,24,735.913357189736,No,1
