Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed,A & G References
Report,13038,Class A,"Saturday, November 12, 2005.","Snowmobiler has encounter in deep snow near Potter, AK",2004,Winter,February,Alaska,Anchorage,Up near powerline clearings east of Potter Marsh in Anchorage.,Anchorage / Hillside,No real roads in the area,"I and two of my friends were bored one night so we decided to do a little snowmachining. Though it was illegal to snowmachine in Anchorage, there were some good trails to ride on a little north of my house.","Some tracks in the snow, and a clearing in the fresh snow where it looked like a large animal had pushed snow aside and layed down.","My two friends were snowmachining behind me but did not see it. If it had been light outside they might have seen it, but it was pitch black outside. My only light was from my snowmachine.",I have not heard of any other incidents in Anchorage.,Middle of the night. The only light was the headlight from my snowmachine.,"In the middle of the woods, in a clearing covered in snow, with only small shrubs and bushes sticking out of the snow.  In the middle of the night.",Follow-up investigation report by BFRO Investigator Dr. Wolf H. Fahrenbach,"The animal was running from the approaching snowmobiles. It was running smoothly with angled elbows, totally unimpeded by the fresh snow, which was about a foot deep and still falling on top of a deeper base. It was dark brown in color, with a messy, matted coat and no perceptible neck.The area of the encounter lies near a clear-cut lane for a pipeline and is within about a mile of the Anchorage Coastal Wildlife Refuge and Potter's Marsh in wooded terrain.",,,,,,,
Report,8792,Class B,"Thursday, June 3, 2004.",Four nocturnal hikers get pelted with snow near Anchorage,2003,Winter,December,Alaska,Anchorage,"Few houses on the way, a power relay station. To get to it our way, go down Dowling Road(left off of Lake Otis), where you will walk a trail. Follow it all the way down, but there are multiple entrances and trails.",Anchorage,Dowling,"Me and a couple of friends had been bored, when I decided we should take a walk through the woods behind my house. I didn't think much of it, as me and my friend have done it many times before. There were four of us, and we set out at about 11 o'clock at night. It was rather dark, but there was light from the moon. The weather was rather cold, as we did this in the winter. The area we walked on was game trails (trails that moose walk on) as well as trails used for mushers, runners, cross country skiiers, and that sort. We had walked about 2 miles from my house to another entrance where most people enter. On the way we had talked about unexplainable events or things such as bigfoot, and UFOs. When we reached the bridge where most people come in, one friend had smoked a cigarette. We then saw a light and decided to go on. On the way back, we heard wild dogs barking wildly, and decided to pick up the speed. It eventually became a sprint, whereafter we walked. When we walked, we continued talking about it. It was then I had realized, some thing had been following us, as well as testing us, or even harassing us. It was much earlier, I just didnt think about it. I had thought it was my friend Warren, who is sometimes clumsy. I had thought it was him who had made noises such as slipping, but it was really something throwing stuff at us. I had realized this about half way back. I asked if Warren kept slipping, when he told me it wasn't, and he thought I could have been pulling a prank. We stopped for a minute to listen when I told the others something strange was going on. We stopped, and shone a flashlight around, hearing noises such as steps, and branches moving and breaking. The leader had thought I had been playing a joke when I told him seriously, I wasn't. He decided to walk behind with me, when something threw snowballs, and nearly hit us on many occasions. It was then he realized that this was no joke, and we picked up a light jog, for most of the way. When we were almost out of the woods, we had again heard dogs, and maybe 20 ft away, the branches breaking, and again, something throwing stuff at us. By the time we left, it was about 3-3:30 in the morning. I did not go directly to my house because I didn't know if it was still following us. I know this was not a prank because the snow is more then 5 ft deep in the woods, and someone would have a extremely hard time to play a prank like that.","We smelled of colonge and after shave, and one of them smoked.(Warren)","4. Me, w-man, warren and sean. We were at my house thinking of what we could do because we were so bored.",no,"Started at 11, ended at about 3-3:30. Weather was cold, no clouds, and temp. maybe in the high teens. Visible lighting from moon.","A pine forest, with a bog or swamp on the right, after you first enter from dowling. on the way their is a creek, and towards the bridge, is Campbell Creek. Some of us had cologne on, and I had shaved earlier that day, and smelled of aftershave.",Follow-up investigation report by BFRO Investigator Dr. Wolf H. Fahrenbach,"The area under consideration is at the eastern edge of Anchorage and is continuous with the substantial mountain ranges in that direction (Chugach Mountains). Apparently, there is no leash law in Anchorage and often dogs form packs. The items thrown at the the four seemed to be clods of hard snow, as some ice crust was present in places. The participants also detected a rank aroma, partly carcass in nature.The moon on that the date and time listed was about 85% full.",Friday night,,,,,,
Report,1255,Class B,"Tuesday, October 5, 1999.",Creature observed walking back and forth by witnesses,1998,Fall,September,Alaska,Bethel,"45 miles by air west of Lake Iliamna, Alaska in the Mulchatna River Drainage",,,"My hunting buddy and I were sitting on a ridge watching for Caribou. About 1000 yards away a large clearing was in view. While we were glassing the clearing for caribou to come out of the brush we watched a large grey animal walking on hind legs walk between two large spruce trees on opposite sides of the clearing. We are both long time Alaskans, avid hunters and have logged many, many hunts in North America. I have hunted all of North America's Deer, elk, Black and Grizzly Bear. I have never seen an animal like what we saw that day. we watched it for over a half  hour move from one tree accross the clearing to the other tree. eventually, caribou moved into the area and we lost sight of the animal when it moved off into heavy brush. We had never heard of a Bigfoot in AK. But we did tell the Bush pilot that picked us up from our hunt that we had seen something strange. He told us we had probably seen the ""Hairy Man"" A well known animal of the Iliamna region by the native people.",nothing unusual,Scouting for caribou with high quality binoculars,,,Call Iliamna Air taxi for lat & Long of Long Lake. Topography is boreal forest typical of south western Alaska,,,3,,,,,,
Media Article,658,,"Wednesday, January 23, 2013",Legendary Bigfoot sighted near Kasigluk,,,,,,,,,,,,,,,,,,By KJ Lincoln,The Delta Discovery,http://www.deltadiscovery.com/story/2013/01/23/in-our-native-land/legendary-bigfoot-sighted-near-kasigluk/817.html,"Volume 15, Issue 4","Here is the original sketch of the creature witnessed on May 29, 2012, drawn by one of the primary eyewitnesses. The being was tall, dark, and covered ground with amazing speed while walking. A family out egg hunting last spring near their village of Kasigluk came upon an incredible sight  a large, dark, hairy creature walking upright was heading towards them. They  two teenaged brothers and their mom - were on the outskirts of the village riding their 4-wheeler when they saw it. It was approximately around 3pm, and the weather was beautiful, although slightly cloudy. School was out for the summer and the date was May 29th, 2012. Could it have been the elusive Bigfoot? We came across it by the lagoon here in Kasigluk, said one the eyewitnesses. It was back there southeast of Fox Lake. While they were out that day, the three family members saw other people who coming home from egg hunting. So at first they thought the creature was a person. After it passed, we looked at each other and thought, we just saw Bigfoot, the eyewitness said. The creature was very tall and dark. Its long arms hung below its knees. It was approximately 75 yards away. The family watched it for about 2 minutes. It was walking towards us and then once it saw us it turned and started going to the other side of the hill, said the witness. When it disappeared into the bushes, the family headed towards where they last saw it but it was nowhere to be seen. They didnt hear about anyone else seeing the mysterious creature. The following is the firsthand account about the sighting written by the mother of the two boys, one of the eyewitnesses. I wanted to go egg hunting, but didnt want to go alone so I had my two sons follow me since I didnt want to go alone. My oldest son said he knew of a place where we could go check so off we went towards the lagoon where there is flat land to the east. Upon reaching the lagoon my older son got off the four wheeler and ran off to see if anybody was in that area. He ran to the edge of the hill and soon ran back saying that somebody was already there. So we decided to go check somewhere else when that somebody started running at an incredible amount of speed. No human person would have gone from down there by that flat land to already towards us up the hill. That somebody was all black from top to bottom, kind of hunchbacked, like it had no neck and its head was cone-shaped. Its long arms went past its knees and it was incredibly tall. At first we all asked each other, Who is that? Then after about 10 seconds as it was walking with long strides it would occasionally look towards us. The way it walked was fast and no human could cover that amount of tundra in the same amount of time. I asked, WHAT is that? All that time we were awestruck and dumbfounded to what we were witnessing. Then as it was going to disappear from our view finally I said, I think we just saw Bigfoot! As it passed in our full view it had covered the whole entire hill in a matter of about a minute. It seemed to be just walking but with big strides. We went up to the top of the hill but we didnt see it anywhere so we went straight home feeling kind of excited. Thats my account. It looked exactly like the Patterson footage of Bigfoot if youve ever seen it. Big Foot or Hairy Man sightings are not unheard of in the Yukon Kuskokwim delta region. Last summer there were reports of a number of sightings in the Johnson River area and other locations.",
Report,11616,Class B,"Friday, May 6, 2005.",Fishermen find footprints east of Egegik,2004,Summer,July,Alaska,Bristol Bay,"Approximately 95 miles east of Egegik, Alaska. Up the Egegik River thirty-five miles, and sixty miles accross Becharoff Lake to the far south/east corner of the lake on the mouth of the Bear Creek spit.",Egegik,,"To whom it may concern, I am a commercial fisherman in Alaska and have been doing so since 1970. I am an avid outdoorsman, hunter and someone who just loves to get out there. Every year after fishing, I try to take a trip up river with a friend or two to wind down and enjoy ourselves before we go home. This year while I was on this trip into Alaska's interior our main mission was to take pictures of bears and the surrounding wildlife to promote a new bear viewing and sports fishing buisness. While on our five day trip, we spotted more than fourty bears. I took hundrends of pictures of these bears and their tracks.",Just these foot prints and how obvious it was that this was not a bear track or at least it sure didn't look or feel that it was.,"One other witness, and he was fishing prior to the incident. As this time of year the salmon fill the lakes and creeks to the brim.","I've only heard of one other story, from an old native man that lived by himself, a true hermit. He spoke of a tall creature that walked on two legs, and watched him for thirty minutes from accross the river of which his cabin overlooked approximately two hundred feet away,when first sighted  he was motionless and staring straight at him,then this creature which he named ""Hairy Man"" turned and briskly walked away.","Approximately 12:30 pm, partially coudy/sunny.","Lake front,creek spit, gravel and sand, alder brush aproxamently 8 miles from the Pacific ocean..High rolling hills jaged mountan, valcanos,Rivers, Lakes, Streems, marsh, Tundra,Exstream remote",Follow-up investigation report by BFRO Investigator Stan Courtney,I had an extended conversation with the witness by phone.  This individual has a vast amount of experience in Alaska spanning thirty-five years.   The footprints were found in an area that is frequented by a very large population of bears.  As such he is very knowledgeable about bear prints. The footprints measured nineteen inches long and eight inches wide. They were able to follow the footprints for a distance of about a hundred feet. The distance between each step was much greater than a man's. The witness did provide me with a series of photographs taken of the footprints but they were not of sufficient detail to be included with this report.  ,20,,,,,,
Report,637,Class A,"Monday, November 13, 2000.",Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,2000,Summer,June,Alaska,Cordova-McCarthy,"On the main trail toward the glacier, before the stream,about 1 mile past the Kennikot settlement at the abandon dynamite shaft.","Kennikot, Alaska",not sure,"My hiking partner and I arrived late to the Kennikot area. We were trying to make it to the camp sites near the glachier but it started getting too dark even for us . So we decided to camp at the first available site . We found a small spot right off the trail so we made camp and hung our supplies in a tree down the trail , started a fire and were just finishing a small meal when I walked to the trail to smoke.",I did hear what appeared to be grunting in the distance,"I was the only witness, there was one other in my party but he didn't see anything, he was at camp, I was about 15 ft from camp smoking a cigarett",None,About 12:00 Midnight / full moon / clear / dim blue dusky light because the Alaska summer sun had just gone down about 1 hr prior.,"This sighting was located at approximately 1 to 1 1/2 miles North of Kennicott, Alaska, located at approximately Latitude N61 degrees, 31.40' by Longitude W142 degrees, 54.06'.  This is located in the Wrangell - St. Elias National Park and Preserve.  The terran is mountainous area with a  glacier to the West.  These mountains range from 2000 to 6000 feet above sea level.  There are old mines in the area, but these have been boarded up.  This area is East of Anchorage and about 58 miles from the Canadian border.  The sighting happened during the darker half of twilight.  There was a full moon and the night was clear.  The ground was dry and hard.",Follow-up investigation report,"Summary of comments.I felt the individual was telling me the truth.  Some questions such as ""Was it near where you hung the food"" could suggest it being a bear.  This I felt was voided when I discussed the length of the legs in relation to the size of the body.  A bears legs would be 1/4 to 1/3 the total trunk length, not equal length.  If it had been a moose or large deer looking straight on, it may have look as though someone standing but that would have been identified when the creature turned and went off into the brush. This is also about 200 to 230 miles South East of one of the two Alaska areas where most sightings occur.  There is nothing but wilderness between these two areas.Follow-up report conducted by Investigator Bryan Turner.           ",16,,,,,,
Report,26604,Class A,"Thursday, September 17, 2009.",Daytime sighting of reddish-colored bigfoot near Fairbanks,2009,Summer,July,Alaska,Fairbanks,The intersection of Auburn and Farmers Loop is about 1 to 1 1/2 miles of the University of Fairbanks campus.  You should be able to find it on google maps easily.,Fairbanks Alaska,Auburn Dr a mile north of Farmers Loop,"It was the month of July, 2009 in Fairbanks Alaska.  I was heading south on Auburn Dr toward Farmers Loop which was about 1 mile away.  It is a wooded area frequented by homes and in general would be considered a populated area.  Houses are on an average of about 100 to 200 feet apart with only the general area around and close to the homes cleared out.  Most of the area by far is wooded.  It was the section of the road where it passes by Pearl Creek Elementary school.  The school can be seen through the woods.  Some of the woods in the area are quite thick and in some places cant be seen into more than about 10 or 15 feet.  But in this area, it had apparently been cleaned out quite a bit and sightlines into the section of the sighting were very open.  The school and vegetable garden could be seen off to the right from the road I was on.  It was about 6pm and I was heading home after a day of working on a deck I was building.  The weather was clear with the sun high in the sky.  As I was driving, I happened to notice a man standing by the right side of the road about 100 yards ahead.  It was more of an unconscious recognition.  Theres nothing unusual about a man standing on the side of the road in this area.  As I got to within about 50 yards, I looked closer.  Thats no man I said to myself (I was alone in the car).  Shortly after that, 1 or 2 seconds, he bolted into the woods towards the school.  He did it like a wild animal would do if spooked.  I didnt slow down until I got to the place where I saw him go into the woods which is where I stopped.  I could see him running away from the road and when he was into the woods about 30 yards or so, he turned left and was now running parallel to the road in the same direction I was heading.  I got a good look at him, but not his face.  I could have probably seen his face had I not been so mesmerized and had the presence of mind to look at it.  I was busy noticing other things.  His fur or hair looked to be about 3 to 4 inches all over the main part of his body.  It was a reddish rusty color.  I was mildly struck by how red it was, but it definitely had some rustyness to it.  He was about 6 feet tall and looked to weigh about 200 lbs.  He ran with a strange Hoppy kind of run.  It wasnt a limp.  With one foot he pushed off with was more a normal running move, but the other foot he pushed off with propelled him upward (about a foot or less) and forward.  I watched him until he disappeared into the woods.  There was a road about 100 yards ahead and I took off to get to it so I could turn right and in 20 yards turn right again to the road that lead to the school parking lot.  So the wooded area he was in was sort of a peninsula and he seemingly had to be in there somewhere. The woods I was looking into from that angle were quite thick and I didnt see him and havent seen him since.  A little farther up on the right was the school garden that had people in it (around 7 - 10) which Im now sorry I didnt stop to go talk to them about it.",I saw some people the next day who saw some kids the week before who had seen it.,No other witnesses,I saw some people the next day who saw some kids the week before who had seen it.,around 6pm,The forest was made up of mostly birch trees with spruce trees intermingled.  Low undergrowth with clear visibility into the woods.,Follow-up investigation report by BFRO Investigator Charles Lamica,"I was intrigued by this report because I used to live very near the area where this sighting occurred. I interviewed the witness telephonically and found his story to be credible.  The interview resulted in the following additional information...1.  The entire sighting, from first glance to last seen, was under 30 seconds in duration. The creature was about 100 yards away when first seen, but as the sighting progressed the distance was reduced to about 20 to 30 yards.2.  The witness didn't get a good look at the creature's face or its feet.  He described the shape of the head as being a cross between that of a human and a gorilla.  The hair on the body seemed to be fairly uniform in length, about three to four inches, and was not matted or scruffy looking.3. He has no explanation for the unusual gait of the creature, and could not speculate as to the possibility of an injury or deformity that might cause it.4.  The witness says he is inclined to believe what he saw was a real non-human animal, but it was definitely not a bear. He recognizes that there is a remote chance that someone could have been carrying out a hoax, but he indicated that if it was someone in a costume it was so convincing that it would have to be a costume of Hollywood-professional quality.",,,,,,,
Report,1257,Class A,"Sunday, May 31, 1998.","Family on their way home see a large, hairy creature cross the road",1998,Spring,May,Alaska,Fairbanks,Fort Wainwright,,,"I personally did not see it but a Noncommissioned officer i work with along with his wife, child and hunting buddy were on their way home when according to them a large, hairy about seven foot ape looking thing crossed the road in front of them. From what i could gather none of them are too familiar with bigfoot information. Any way they say it crossed the road which is about thirty-five feet in width in four to five steps it seemed and disappeared into the brush on the other side which leads to a river called the Chena. Both of the guys have been hunting since childhood and are sure they know a bear when they see one. The thing crossed the road on its hind legs and as we all agreed yeah a bear can raise up on its hindlegs and even take a few clumsy steps, but, cross a thirty-five foot road.....naw! They say they even came back later (they were shook) and looked for tracks. He wasn't too sure but says he found some tracks that didn't look like any tracks he was! ! familiar with. They were pointed inward as a person who is what i call pigeon-toed. They heard or saw nothing else but were a bit shook and headed home. The entire story seemed incredible to me because the incident took place on a military installation. I really don't won't to get the guys involved because they fear ridicule.",,They had just picked the buddy up from work.,,,"On a road called Trainor Gate road, on the more rural section of it which leads to Birch Hill. Birch Hill is where a lot of us military guys go and ski. Beyond Birch Hill is nothing but wilderness, all around Ft. Wainwright is nothing but wilderness. So on one side of the road (which this part is gravel) is Birch Hill and on the other is Chena River which has the main road of the military post on its other side. The area around the incident is very rugged, with a mixture of vegetation, hills, rocks, etc. There are lots of wildlife in the area also, there's nothing odd about seeing moose or even wolf though bear usually stay clear.",,,22,,,,,,
Report,1995,Class B,"Monday, March 19, 2001.","Hunter hears footsteps late at night in Goldstream Valley, just north of Fairbanks",1997,Fall,August,Alaska,Fairbanks,"I would prefer you don't include this in my posting, as I still hunt the area regularly...",Fairbanks,Jones Road,"This happened in late August of 1997 in a side valley of Goldstream Valley, a relatively populated area just north of Fairbanks.  Although it's quite close to the Fairbanks area and there are many houses and roads in the main part of Goldstream, the side valleys are still as wild as they were a thousand years ago.",I covered pretty much everything in my narrative.,Just myself.,"Most of the native peoples of Alaska seem to have stories about the ""woodsman"", the ""bushman"", the ""hairy man"", etc.  Other than this, I've never heard of anyone I know having an actual encounter with a woodsman in Alaska.","Middle of the night, clear weather, thumbnail moon (not much light), campfire burned out.","Upland Aspen/birch forest, above O'connor Creek.",Follow-up investigation report by BFRO Investigator Kevin Withers,"The witness is a twenty-six year old archeologist who works for a consulting company.The witness' camp was situated forty minutes from the nearest trail.  He camped out for only one night.Some time in the middle of the night he was awakened by a flying squirrel which landed on his chest, squeaked, and ran off.  He then heard a distinctly bipedal animal walking around his camp, accompanied by the sound of breaking sticks and branches.  ""It was not trying to be quiet,"" the witness said.  He also heard a whispering, or low grumbling/muttering sound.Area vegetation consisted of second growth forest with patches of large aspen, alder, small willow, and birch.","August, 1997",,,,,,
Report,1258,Class A,"Monday, June 15, 1998.",Sighting by Army personnel on manuevers,Late 1970's,Summer,,Alaska,Fairbanks,"Black Rapids Glacier, Alaska Richardson Hiway south of Delta Junction",,,"I was part of a group of about a dozen Army personnel training in the area. It was summer on a warm clear day. We were above treeline and had been camped there for several days. I was looking across the nearest valley when I spotted movement. It was on the base of a steep mountainside in bare, rocky terrain, with snowfields descending down the small gullies on the hillside. It was moving up the valley about a half mile away.",,Just sitting around relaxing,"I was telling a friend about this and he said he found tracks in the sand in Alaska out by King Salmon. He said they were over two feet long but looked human. He has alot of outdoor experience here and says they were in no way the tracks of a bear. This was also in a remote area where you don't see other people, only in planes.",,High rugged mountains,,,,,,,,,
